ID,sentimiento
60458,positivo
60459,positivo
60460,negativo
60461,positivo
60462,negativo
60463,positivo
60464,positivo
60465,positivo
60466,negativo
60467,negativo
60468,positivo
60469,negativo
60470,negativo
60471,negativo
60472,negativo
60473,negativo
60474,negativo
60475,positivo
60476,negativo
60477,negativo
60478,positivo
60479,positivo
60480,negativo
60481,positivo
60482,positivo
60483,positivo
60484,negativo
60485,negativo
60486,positivo
60487,positivo
60488,negativo
60489,negativo
60490,positivo
60491,positivo
60492,negativo
60493,positivo
60494,negativo
60495,negativo
60496,negativo
60497,negativo
60498,positivo
60499,negativo
60500,negativo
60501,negativo
60502,positivo
60503,positivo
60504,positivo
60505,positivo
60506,positivo
60507,negativo
60508,positivo
60509,positivo
60510,positivo
60511,negativo
60512,negativo
60513,negativo
60514,negativo
60515,positivo
60516,positivo
60517,negativo
60518,negativo
60519,positivo
60520,negativo
60521,negativo
60522,positivo
60523,positivo
60524,positivo
60525,positivo
60526,positivo
60527,positivo
60528,negativo
60529,positivo
60530,negativo
60531,positivo
60532,negativo
60533,negativo
60534,negativo
60535,positivo
60536,positivo
60537,positivo
60538,positivo
60539,negativo
60540,positivo
60541,negativo
60542,negativo
60543,positivo
60544,positivo
60545,negativo
60546,negativo
60547,negativo
60548,negativo
60549,negativo
60550,negativo
60551,negativo
60552,negativo
60553,positivo
60554,negativo
60555,positivo
60556,positivo
60557,positivo
60558,positivo
60559,negativo
60560,negativo
60561,negativo
60562,negativo
60563,negativo
60564,positivo
60565,negativo
60566,positivo
60567,negativo
60568,negativo
60569,negativo
60570,negativo
60571,positivo
60572,positivo
60573,positivo
60574,positivo
60575,positivo
60576,negativo
60577,negativo
60578,negativo
60579,negativo
60580,positivo
60581,negativo
60582,positivo
60583,positivo
60584,negativo
60585,positivo
60586,positivo
60587,negativo
60588,negativo
60589,negativo
60590,negativo
60591,negativo
60592,negativo
60593,negativo
60594,negativo
60595,negativo
60596,negativo
60597,negativo
60598,positivo
60599,positivo
60600,negativo
60601,negativo
60602,negativo
60603,positivo
60604,positivo
60605,positivo
60606,positivo
60607,negativo
60608,positivo
60609,negativo
60610,negativo
60611,negativo
60612,negativo
60613,positivo
60614,negativo
60615,negativo
60616,positivo
60617,negativo
60618,positivo
60619,positivo
60620,negativo
60621,negativo
60622,positivo
60623,positivo
60624,negativo
60625,positivo
60626,positivo
60627,negativo
60628,negativo
60629,positivo
60630,negativo
60631,negativo
60632,negativo
60633,negativo
60634,positivo
60635,negativo
60636,negativo
60637,positivo
60638,positivo
60639,negativo
60640,positivo
60641,negativo
60642,negativo
60643,positivo
60644,positivo
60645,positivo
60646,positivo
60647,negativo
60648,positivo
60649,negativo
60650,positivo
60651,negativo
60652,positivo
60653,positivo
60654,negativo
60655,positivo
60656,positivo
60657,positivo
60658,positivo
60659,positivo
60660,positivo
60661,negativo
60662,positivo
60663,negativo
60664,negativo
60665,negativo
60666,negativo
60667,negativo
60668,positivo
60669,positivo
60670,positivo
60671,positivo
60672,positivo
60673,negativo
60674,positivo
60675,positivo
60676,positivo
60677,positivo
60678,positivo
60679,negativo
60680,positivo
60681,positivo
60682,negativo
60683,positivo
60684,negativo
60685,positivo
60686,negativo
60687,negativo
60688,negativo
60689,negativo
60690,positivo
60691,positivo
60692,positivo
60693,positivo
60694,positivo
60695,positivo
60696,positivo
60697,positivo
60698,positivo
60699,positivo
60700,negativo
60701,positivo
60702,positivo
60703,negativo
60704,negativo
60705,negativo
60706,positivo
60707,positivo
60708,positivo
60709,negativo
60710,positivo
60711,positivo
60712,negativo
60713,negativo
60714,positivo
60715,positivo
60716,positivo
60717,negativo
60718,negativo
60719,negativo
60720,positivo
60721,negativo
60722,positivo
60723,positivo
60724,negativo
60725,negativo
60726,positivo
60727,positivo
60728,negativo
60729,positivo
60730,negativo
60731,positivo
60732,negativo
60733,positivo
60734,negativo
60735,negativo
60736,negativo
60737,positivo
60738,negativo
60739,positivo
60740,positivo
60741,negativo
60742,positivo
60743,positivo
60744,positivo
60745,negativo
60746,negativo
60747,positivo
60748,positivo
60749,negativo
60750,positivo
60751,positivo
60752,negativo
60753,negativo
60754,positivo
60755,positivo
60756,positivo
60757,negativo
60758,positivo
60759,negativo
60760,positivo
60761,negativo
60762,positivo
60763,positivo
60764,negativo
60765,negativo
60766,negativo
60767,negativo
60768,negativo
60769,positivo
60770,positivo
60771,positivo
60772,positivo
60773,negativo
60774,negativo
60775,positivo
60776,positivo
60777,positivo
60778,negativo
60779,positivo
60780,positivo
60781,negativo
60782,positivo
60783,positivo
60784,negativo
60785,positivo
60786,positivo
60787,positivo
60788,positivo
60789,negativo
60790,positivo
60791,positivo
60792,negativo
60793,negativo
60794,negativo
60795,negativo
60796,positivo
60797,negativo
60798,positivo
60799,negativo
60800,positivo
60801,negativo
60802,positivo
60803,negativo
60804,positivo
60805,positivo
60806,positivo
60807,negativo
60808,negativo
60809,positivo
60810,positivo
60811,positivo
60812,positivo
60813,positivo
60814,positivo
60815,negativo
60816,positivo
60817,positivo
60818,negativo
60819,positivo
60820,positivo
60821,negativo
60822,negativo
60823,positivo
60824,positivo
60825,positivo
60826,positivo
60827,negativo
60828,negativo
60829,negativo
60830,positivo
60831,negativo
60832,positivo
60833,positivo
60834,positivo
60835,positivo
60836,negativo
60837,negativo
60838,negativo
60839,negativo
60840,positivo
60841,negativo
60842,negativo
60843,positivo
60844,positivo
60845,negativo
60846,positivo
60847,positivo
60848,negativo
60849,negativo
60850,positivo
60851,positivo
60852,negativo
60853,positivo
60854,positivo
60855,positivo
60856,positivo
60857,positivo
60858,negativo
60859,positivo
60860,positivo
60861,positivo
60862,positivo
60863,positivo
60864,negativo
60865,negativo
60866,negativo
60867,positivo
60868,positivo
60869,positivo
60870,negativo
60871,positivo
60872,positivo
60873,positivo
60874,positivo
60875,positivo
60876,positivo
60877,negativo
60878,negativo
60879,positivo
60880,positivo
60881,positivo
60882,positivo
60883,positivo
60884,positivo
60885,positivo
60886,positivo
60887,positivo
60888,negativo
60889,positivo
60890,negativo
60891,positivo
60892,negativo
60893,negativo
60894,negativo
60895,positivo
60896,negativo
60897,positivo
60898,positivo
60899,negativo
60900,positivo
60901,negativo
60902,negativo
60903,negativo
60904,positivo
60905,negativo
60906,positivo
60907,negativo
60908,negativo
60909,positivo
60910,positivo
60911,negativo
60912,negativo
60913,positivo
60914,positivo
60915,positivo
60916,positivo
60917,positivo
60918,positivo
60919,positivo
60920,negativo
60921,positivo
60922,negativo
60923,positivo
60924,positivo
60925,negativo
60926,positivo
60927,positivo
60928,positivo
60929,positivo
60930,negativo
60931,negativo
60932,positivo
60933,positivo
60934,negativo
60935,positivo
60936,positivo
60937,negativo
60938,negativo
60939,negativo
60940,negativo
60941,positivo
60942,negativo
60943,positivo
60944,positivo
60945,positivo
60946,negativo
60947,positivo
60948,positivo
60949,positivo
60950,negativo
60951,positivo
60952,positivo
60953,positivo
60954,negativo
60955,negativo
60956,positivo
60957,negativo
60958,negativo
60959,negativo
60960,positivo
60961,negativo
60962,negativo
60963,positivo
60964,positivo
60965,negativo
60966,negativo
60967,positivo
60968,positivo
60969,negativo
60970,positivo
60971,negativo
60972,positivo
60973,negativo
60974,negativo
60975,positivo
60976,negativo
60977,positivo
60978,negativo
60979,negativo
60980,positivo
60981,negativo
60982,negativo
60983,negativo
60984,negativo
60985,negativo
60986,positivo
60987,positivo
60988,negativo
60989,negativo
60990,negativo
60991,negativo
60992,positivo
60993,negativo
60994,negativo
60995,positivo
60996,positivo
60997,positivo
60998,negativo
60999,positivo
61000,positivo
61001,negativo
61002,negativo
61003,negativo
61004,negativo
61005,positivo
61006,negativo
61007,negativo
61008,negativo
61009,positivo
61010,negativo
61011,negativo
61012,positivo
61013,negativo
61014,positivo
61015,negativo
61016,negativo
61017,negativo
61018,negativo
61019,negativo
61020,positivo
61021,negativo
61022,negativo
61023,negativo
61024,positivo
61025,positivo
61026,positivo
61027,positivo
61028,positivo
61029,negativo
61030,negativo
61031,negativo
61032,negativo
61033,negativo
61034,positivo
61035,positivo
61036,negativo
61037,negativo
61038,positivo
61039,positivo
61040,negativo
61041,negativo
61042,positivo
61043,positivo
61044,positivo
61045,positivo
61046,negativo
61047,negativo
61048,negativo
61049,positivo
61050,positivo
61051,negativo
61052,positivo
61053,positivo
61054,positivo
61055,negativo
61056,negativo
61057,negativo
61058,negativo
61059,positivo
61060,positivo
61061,positivo
61062,positivo
61063,positivo
61064,negativo
61065,negativo
61066,negativo
61067,negativo
61068,positivo
61069,positivo
61070,positivo
61071,positivo
61072,positivo
61073,negativo
61074,negativo
61075,negativo
61076,negativo
61077,negativo
61078,negativo
61079,negativo
61080,positivo
61081,positivo
61082,positivo
61083,positivo
61084,positivo
61085,negativo
61086,negativo
61087,negativo
61088,positivo
61089,positivo
61090,positivo
61091,negativo
61092,negativo
61093,negativo
61094,negativo
61095,positivo
61096,negativo
61097,negativo
61098,positivo
61099,negativo
61100,negativo
61101,positivo
61102,positivo
61103,negativo
61104,negativo
61105,positivo
61106,positivo
61107,negativo
61108,negativo
61109,positivo
61110,positivo
61111,positivo
61112,positivo
61113,negativo
61114,positivo
61115,negativo
61116,positivo
61117,positivo
61118,positivo
61119,negativo
61120,positivo
61121,negativo
61122,positivo
61123,positivo
61124,negativo
61125,positivo
61126,negativo
61127,negativo
61128,negativo
61129,negativo
61130,positivo
61131,positivo
61132,positivo
61133,negativo
61134,positivo
61135,negativo
61136,positivo
61137,negativo
61138,positivo
61139,negativo
61140,negativo
61141,negativo
61142,positivo
61143,positivo
61144,negativo
61145,positivo
61146,positivo
61147,positivo
61148,negativo
61149,positivo
61150,negativo
61151,negativo
61152,negativo
61153,positivo
61154,positivo
61155,positivo
61156,positivo
61157,positivo
61158,positivo
61159,positivo
61160,positivo
61161,positivo
61162,negativo
61163,negativo
61164,negativo
61165,positivo
61166,positivo
61167,positivo
61168,negativo
61169,negativo
61170,negativo
61171,positivo
61172,positivo
61173,negativo
61174,negativo
61175,negativo
61176,positivo
61177,negativo
61178,negativo
61179,negativo
61180,negativo
61181,negativo
61182,negativo
61183,negativo
61184,negativo
61185,positivo
61186,positivo
61187,negativo
61188,positivo
61189,positivo
61190,negativo
61191,positivo
61192,positivo
61193,negativo
61194,positivo
61195,positivo
61196,negativo
61197,negativo
61198,positivo
61199,positivo
61200,negativo
61201,positivo
61202,positivo
61203,positivo
61204,positivo
61205,positivo
61206,negativo
61207,negativo
61208,positivo
61209,positivo
61210,negativo
61211,positivo
61212,negativo
61213,negativo
61214,negativo
61215,negativo
61216,negativo
61217,negativo
61218,positivo
61219,positivo
61220,negativo
61221,negativo
61222,positivo
61223,negativo
61224,positivo
61225,negativo
61226,negativo
61227,positivo
61228,positivo
61229,negativo
61230,positivo
61231,negativo
61232,positivo
61233,negativo
61234,positivo
61235,negativo
61236,positivo
61237,positivo
61238,negativo
61239,negativo
61240,negativo
61241,positivo
61242,negativo
61243,positivo
61244,negativo
61245,negativo
61246,negativo
61247,positivo
61248,negativo
61249,negativo
61250,negativo
61251,positivo
61252,negativo
61253,negativo
61254,positivo
61255,negativo
61256,negativo
61257,negativo
61258,positivo
61259,negativo
61260,positivo
61261,negativo
61262,negativo
61263,negativo
61264,positivo
61265,negativo
61266,negativo
61267,negativo
61268,positivo
61269,negativo
61270,positivo
61271,negativo
61272,positivo
61273,positivo
61274,positivo
61275,negativo
61276,negativo
61277,negativo
61278,positivo
61279,negativo
61280,positivo
61281,negativo
61282,negativo
61283,positivo
61284,positivo
61285,negativo
61286,negativo
61287,negativo
61288,negativo
61289,negativo
61290,positivo
61291,negativo
61292,positivo
61293,negativo
61294,negativo
61295,positivo
61296,positivo
61297,positivo
61298,negativo
61299,negativo
61300,positivo
61301,negativo
61302,negativo
61303,positivo
61304,positivo
61305,positivo
61306,negativo
61307,positivo
61308,negativo
61309,positivo
61310,positivo
61311,positivo
61312,positivo
61313,negativo
61314,negativo
61315,positivo
61316,positivo
61317,negativo
61318,positivo
61319,negativo
61320,positivo
61321,positivo
61322,positivo
61323,positivo
61324,negativo
61325,positivo
61326,positivo
61327,positivo
61328,negativo
61329,positivo
61330,negativo
61331,negativo
61332,negativo
61333,positivo
61334,negativo
61335,positivo
61336,positivo
61337,positivo
61338,positivo
61339,negativo
61340,negativo
61341,positivo
61342,negativo
61343,positivo
61344,negativo
61345,negativo
61346,positivo
61347,positivo
61348,positivo
61349,negativo
61350,negativo
61351,negativo
61352,positivo
61353,positivo
61354,negativo
61355,negativo
61356,positivo
61357,positivo
61358,negativo
61359,negativo
61360,positivo
61361,positivo
61362,negativo
61363,positivo
61364,positivo
61365,positivo
61366,positivo
61367,negativo
61368,positivo
61369,positivo
61370,negativo
61371,positivo
61372,positivo
61373,negativo
61374,negativo
61375,negativo
61376,positivo
61377,positivo
61378,negativo
61379,positivo
61380,negativo
61381,positivo
61382,positivo
61383,positivo
61384,positivo
61385,negativo
61386,positivo
61387,positivo
61388,positivo
61389,negativo
61390,negativo
61391,negativo
61392,positivo
61393,positivo
61394,positivo
61395,negativo
61396,positivo
61397,negativo
61398,negativo
61399,negativo
61400,negativo
61401,negativo
61402,negativo
61403,negativo
61404,negativo
61405,positivo
61406,negativo
61407,positivo
61408,negativo
61409,negativo
61410,positivo
61411,positivo
61412,positivo
61413,positivo
61414,negativo
61415,negativo
61416,negativo
61417,positivo
61418,positivo
61419,positivo
61420,negativo
61421,positivo
61422,positivo
61423,positivo
61424,positivo
61425,negativo
61426,negativo
61427,negativo
61428,positivo
61429,negativo
61430,positivo
61431,positivo
61432,negativo
61433,positivo
61434,negativo
61435,positivo
61436,negativo
61437,negativo
61438,negativo
61439,negativo
61440,negativo
61441,positivo
61442,positivo
61443,negativo
61444,negativo
61445,negativo
61446,positivo
61447,negativo
61448,negativo
61449,positivo
61450,positivo
61451,positivo
61452,positivo
61453,negativo
61454,positivo
61455,negativo
61456,positivo
61457,positivo
61458,positivo
61459,negativo
61460,positivo
61461,negativo
61462,negativo
61463,positivo
61464,positivo
61465,negativo
61466,positivo
61467,positivo
61468,positivo
61469,positivo
61470,positivo
61471,positivo
61472,positivo
61473,positivo
61474,negativo
61475,positivo
61476,negativo
61477,negativo
61478,positivo
61479,positivo
61480,negativo
61481,negativo
61482,positivo
61483,positivo
61484,positivo
61485,negativo
61486,positivo
61487,positivo
61488,negativo
61489,negativo
61490,negativo
61491,positivo
61492,negativo
61493,negativo
61494,positivo
61495,negativo
61496,positivo
61497,negativo
61498,negativo
61499,negativo
61500,negativo
61501,negativo
61502,negativo
61503,negativo
61504,negativo
61505,positivo
61506,negativo
61507,negativo
61508,negativo
61509,negativo
61510,positivo
61511,negativo
61512,positivo
61513,positivo
61514,positivo
61515,positivo
61516,positivo
61517,negativo
61518,negativo
61519,positivo
61520,negativo
61521,positivo
61522,positivo
61523,positivo
61524,positivo
61525,negativo
61526,negativo
61527,positivo
61528,positivo
61529,negativo
61530,positivo
61531,positivo
61532,negativo
61533,negativo
61534,positivo
61535,positivo
61536,positivo
61537,positivo
61538,positivo
61539,negativo
61540,positivo
61541,positivo
61542,positivo
61543,positivo
61544,positivo
61545,negativo
61546,negativo
61547,negativo
61548,negativo
61549,positivo
61550,negativo
61551,negativo
61552,positivo
61553,negativo
61554,positivo
61555,positivo
61556,negativo
61557,positivo
61558,positivo
61559,positivo
61560,positivo
61561,positivo
61562,negativo
61563,positivo
61564,negativo
61565,negativo
61566,negativo
61567,positivo
61568,negativo
61569,negativo
61570,negativo
61571,negativo
61572,negativo
61573,negativo
61574,negativo
61575,positivo
61576,negativo
61577,negativo
61578,positivo
61579,positivo
61580,negativo
61581,negativo
61582,negativo
61583,negativo
61584,negativo
61585,negativo
61586,positivo
61587,positivo
61588,positivo
61589,positivo
61590,positivo
61591,negativo
61592,positivo
61593,negativo
61594,positivo
61595,negativo
61596,positivo
61597,negativo
61598,negativo
61599,positivo
61600,positivo
61601,positivo
61602,positivo
61603,positivo
61604,positivo
61605,negativo
61606,negativo
61607,negativo
61608,positivo
61609,positivo
61610,negativo
61611,positivo
61612,negativo
61613,positivo
61614,negativo
61615,positivo
61616,positivo
61617,negativo
61618,positivo
61619,positivo
61620,positivo
61621,negativo
61622,negativo
61623,positivo
61624,negativo
61625,positivo
61626,positivo
61627,negativo
61628,negativo
61629,positivo
61630,positivo
61631,positivo
61632,positivo
61633,negativo
61634,positivo
61635,negativo
61636,negativo
61637,positivo
61638,negativo
61639,positivo
61640,negativo
61641,positivo
61642,negativo
61643,negativo
61644,positivo
61645,positivo
61646,positivo
61647,negativo
61648,negativo
61649,negativo
61650,positivo
61651,negativo
61652,positivo
61653,negativo
61654,negativo
61655,negativo
61656,negativo
61657,negativo
61658,positivo
61659,positivo
61660,positivo
61661,negativo
61662,positivo
61663,negativo
61664,negativo
61665,positivo
61666,positivo
61667,positivo
61668,negativo
61669,positivo
61670,negativo
61671,negativo
61672,negativo
61673,negativo
61674,positivo
61675,negativo
61676,positivo
61677,positivo
61678,positivo
61679,positivo
61680,negativo
61681,positivo
61682,negativo
61683,positivo
61684,positivo
61685,positivo
61686,positivo
61687,positivo
61688,positivo
61689,negativo
61690,negativo
61691,negativo
61692,negativo
61693,negativo
61694,negativo
61695,negativo
61696,positivo
61697,negativo
61698,negativo
61699,negativo
61700,positivo
61701,positivo
61702,positivo
61703,negativo
61704,positivo
61705,positivo
61706,negativo
61707,negativo
61708,positivo
61709,negativo
61710,negativo
61711,negativo
61712,negativo
61713,positivo
61714,negativo
61715,positivo
61716,negativo
61717,positivo
61718,positivo
61719,positivo
61720,negativo
61721,negativo
61722,negativo
61723,negativo
61724,negativo
61725,negativo
61726,positivo
61727,positivo
61728,positivo
61729,negativo
61730,negativo
61731,negativo
61732,negativo
61733,positivo
61734,positivo
61735,positivo
61736,positivo
61737,negativo
61738,positivo
61739,positivo
61740,positivo
61741,positivo
61742,negativo
61743,positivo
61744,negativo
61745,positivo
61746,positivo
61747,negativo
61748,positivo
61749,negativo
61750,positivo
61751,negativo
61752,positivo
61753,negativo
61754,positivo
61755,positivo
61756,positivo
61757,negativo
61758,positivo
61759,negativo
61760,negativo
61761,positivo
61762,negativo
61763,positivo
61764,negativo
61765,negativo
61766,negativo
61767,positivo
61768,negativo
61769,negativo
61770,negativo
61771,positivo
61772,negativo
61773,positivo
61774,negativo
61775,negativo
61776,negativo
61777,negativo
61778,negativo
61779,negativo
61780,positivo
61781,positivo
61782,positivo
61783,positivo
61784,negativo
61785,positivo
61786,positivo
61787,positivo
61788,negativo
61789,positivo
61790,negativo
61791,negativo
61792,positivo
61793,positivo
61794,positivo
61795,negativo
61796,negativo
61797,positivo
61798,negativo
61799,positivo
61800,positivo
61801,negativo
61802,positivo
61803,negativo
61804,positivo
61805,positivo
61806,negativo
61807,positivo
61808,negativo
61809,positivo
61810,positivo
61811,negativo
61812,negativo
61813,negativo
61814,negativo
61815,negativo
61816,positivo
61817,negativo
61818,negativo
61819,positivo
61820,positivo
61821,negativo
61822,negativo
61823,negativo
61824,negativo
61825,positivo
61826,negativo
61827,negativo
61828,positivo
61829,positivo
61830,negativo
61831,negativo
61832,negativo
61833,positivo
61834,negativo
61835,negativo
61836,negativo
61837,negativo
61838,negativo
61839,negativo
61840,positivo
61841,negativo
61842,positivo
61843,negativo
61844,positivo
61845,negativo
61846,negativo
61847,positivo
61848,negativo
61849,negativo
61850,positivo
61851,negativo
61852,positivo
61853,positivo
61854,positivo
61855,positivo
61856,negativo
61857,negativo
61858,positivo
61859,positivo
61860,negativo
61861,positivo
61862,positivo
61863,positivo
61864,negativo
61865,positivo
61866,negativo
61867,negativo
61868,positivo
61869,positivo
61870,negativo
61871,positivo
61872,positivo
61873,positivo
61874,positivo
61875,positivo
61876,positivo
61877,positivo
61878,positivo
61879,negativo
61880,negativo
61881,negativo
61882,positivo
61883,negativo
61884,negativo
61885,positivo
61886,positivo
61887,negativo
61888,positivo
61889,positivo
61890,positivo
61891,negativo
61892,negativo
61893,negativo
61894,positivo
61895,negativo
61896,negativo
61897,positivo
61898,positivo
61899,negativo
61900,negativo
61901,positivo
61902,positivo
61903,positivo
61904,positivo
61905,positivo
61906,positivo
61907,negativo
61908,positivo
61909,positivo
61910,positivo
61911,negativo
61912,negativo
61913,negativo
61914,positivo
61915,positivo
61916,negativo
61917,positivo
61918,negativo
61919,negativo
61920,negativo
61921,negativo
61922,positivo
61923,positivo
61924,negativo
61925,negativo
61926,positivo
61927,positivo
61928,negativo
61929,positivo
61930,negativo
61931,negativo
61932,positivo
61933,positivo
61934,negativo
61935,negativo
61936,negativo
61937,negativo
61938,positivo
61939,negativo
61940,negativo
61941,negativo
61942,negativo
61943,positivo
61944,positivo
61945,negativo
61946,positivo
61947,positivo
61948,negativo
61949,positivo
61950,negativo
61951,positivo
61952,positivo
61953,negativo
61954,negativo
61955,negativo
61956,positivo
61957,negativo
61958,positivo
61959,negativo
61960,negativo
61961,negativo
61962,positivo
61963,negativo
61964,positivo
61965,positivo
61966,negativo
61967,negativo
61968,positivo
61969,positivo
61970,negativo
61971,positivo
61972,negativo
61973,negativo
61974,positivo
61975,positivo
61976,positivo
61977,positivo
61978,positivo
61979,positivo
61980,positivo
61981,positivo
61982,positivo
61983,positivo
61984,negativo
61985,negativo
61986,positivo
61987,positivo
61988,positivo
61989,negativo
61990,negativo
61991,positivo
61992,negativo
61993,positivo
61994,positivo
61995,positivo
61996,negativo
